Evento,Ciudad,Fecha,Artista,Img,Link
Mosaic Festival,Barcelona,18/04/2026,TBA,https://4ddig.tenorshare.com/images/photo-recovery/images-not-found.jpg,#
RÜFÜS DU SOL,Madrid,26/04/2026,RÜFÜS DU SOL,https://i.scdn.co/image/ab6761610000e5ebdbe0d58f538b7d18e324af5e,https://www.ticketmaster.es/event/rufus-du-sol-europe-26-entradas/617923780
RÜFÜS DU SOL,Barcelona,24/04/2026,RÜFÜS DU SOL,https://i.scdn.co/image/ab6761610000e5ebdbe0d58f538b7d18e324af5e,https://www.ticketmaster.es/event/rufus-du-sol-europe-26-entradas/36543091
Primavera Sound,Barcelona,05/06/2026,Skrillex,https://i.scdn.co/image/ab6761610000e5eb4b7641931a85c5f8d42714cf,https://www.primaverasound.com/es/barcelona
Primavera Sound,Barcelona,05/06/2026,KI/KI,https://i.scdn.co/image/ab6761610000e5eb807f0d721a547b7faa2e306a,https://www.primaverasound.com/es/barcelona
Primavera Sound,Barcelona,06/06/2026,Peggy Gou,https://i.scdn.co/image/ab6761610000e5ebffbd43b1e54eb09a8c824f53,https://www.primaverasound.com/es/barcelona
LOS40 DANCE,Madrid,20/12/2025,Oliver Heldens,https://i.scdn.co/image/ab6761610000e5eb4b245e1bf79a109b7a1876d2,https://www.ticketmaster.es/event/los40-dance-fiesta-aniversario-with-oliver-heldens-entradas/1592370151
Peligro Fest,Valencia,25/07/2026,Martin Garrix,https://i.scdn.co/image/ab6761610000e5ebf5b8ee60f1f4ee3453aba40b,https://peligrofest.com/
Primavera Sound,Barcelona,04/06/2026,2hollis,https://i.scdn.co/image/ab6761610000e5eba1bbb3fd6dbbdfb248f0948d,https://www.primaverasound.com/es/barcelona
Primavera Sound,Barcelona,04/06/2026,Ben UFO,https://i.scdn.co/image/ab67616d0000b273819cfb3f891635a288a44818,https://www.primaverasound.com/es/barcelona
Primavera Sound,Barcelona,07/06/2026,BLOND:ISH,https://i.scdn.co/image/ab6761610000e5ebe1c0014da200abe8eba9224e,https://www.primaverasound.com/es/barcelona
Primavera Sound,Barcelona,05/06/2026,Call Super,https://i.scdn.co/image/ab6761610000e5eb59d8a2406fe806de9b649178,https://www.primaverasound.com/es/barcelona
Primavera Sound,Barcelona,04/06/2026,Cameron Winter,https://i.scdn.co/image/ab6761610000e5eb70fea1b7a7a5c70c895109dc,https://www.primaverasound.com/es/barcelona
Primavera Sound,Barcelona,07/06/2026,Carl Cox,https://i.scdn.co/image/ab6761610000e5ebed8cecdfef719a807f258080,https://www.primaverasound.com/es/barcelona
Primavera Sound,Barcelona,06/06/2026,DJ Nobu,https://i.scdn.co/image/ab67616d0000b2732ecaa03b3593c478ce680ed3,https://www.primaverasound.com/es/barcelona
Primavera Sound,Barcelona,05/06/2026,Iglooghost,https://i.scdn.co/image/ab6761610000e5ebc25aae4b8e48acf1de6d2a11,https://www.primaverasound.com/es/barcelona
Primavera Sound,Barcelona,06/06/2026,JASSS,https://i.scdn.co/image/ab6761610000e5eb4a7f2d8beee1ea0d5429090d,https://www.primaverasound.com/es/barcelona
Primavera Sound,Barcelona,07/06/2026,Joseph Capriati,https://i.scdn.co/image/ab6761610000e5ebb0c599898e2275df19b778de,https://www.primaverasound.com/es/barcelona
Primavera Sound,Barcelona,04/06/2026,Overmono,https://i.scdn.co/image/ab6761610000e5ebddeeadc7793743f12a7a3959,https://www.primaverasound.com/es/barcelona
Primavera Sound,Barcelona,06/06/2026,Peggy Gou,https://i.scdn.co/image/ab6761610000e5ebffbd43b1e54eb09a8c824f53,https://www.primaverasound.com/es/barcelona
